movieId,Movie,Year,Certificate,Genre,Overview,Runtime,moviePoster
0,Bahubali: The Beginning,2015,UA,"Action, Drama            ","    In ancient India, an adventurous and daring man becomes involved in a decades old feud between two warring people.",159,https://upload.wikimedia.org/wikipedia/en/5/5f/Baahubali_The_Beginning_poster.jpg
1,Baahubali 2: The Conclusion,2017,UA,"Action, Drama            ","    When Shiva, the son of Bahubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom.",167,https://upload.wikimedia.org/wikipedia/en/9/93/Baahubali_2_The_Conclusion_poster.jpg
2,1 - Nenokkadine,2014,UA,"Action, Thriller            ",    A rock star must overcome his psychological inhibitions to seek revenge for his parents' death.,170,https://upload.wikimedia.org/wikipedia/en/f/fe/1_Nenokkadine_poster.jpg
3,Dhoom:3,2013,UA,"Action, Thriller            ","    When Sahir, a circus entertainer trained in magic and acrobatics, turns into a thief to take down a corrupt bank in Chicago that ruined his father, Indian officers Jai and Ali are called to catch him.",172,https://upload.wikimedia.org/wikipedia/en/f/f1/Dhoom_3_Film_Poster.jpg
4,Ra.One,2011,U,"Action, Adventure, Sci-Fi            ","    When the titular antagonist of an action game takes on physical form, it's only the game's less powerful protagonist who can save his creator's family.",156,https://upload.wikimedia.org/wikipedia/en/5/58/Ra.Oneposter.jpg
5,Dhoom:2,2006,UA,"Action, Thriller            ","    Mr A, a fearless thief, steals valuable artefacts and teams up with the girl he is attracted to but who cannot be trusted. Close on their heels are three police officers trying to apprehend them.",152,https://upload.wikimedia.org/wikipedia/en/1/13/Dhoom_2_%282006_film%29_poster.jpg
6,Eega,2012,UA,"Action, Fantasy            ",    A murdered man is reincarnated as a housefly and seeks to avenge his death.,145,https://upload.wikimedia.org/wikipedia/en/3/30/Eega_poster.jpg
7,Krrish 3,2013,U,"Action, Sci-Fi            ","    Krrish and his scientist father have to save the world and their own family from an evil man named Kaal and his gang of mutants, led by the ruthless Kaya.",152,https://upload.wikimedia.org/wikipedia/en/2/28/Krrish_3_%282013_film%29_poster.jpg
8,Arjun Reddy,2017,A,"Action, Drama, Romance            ","    Arjun Reddy, a short tempered house surgeon gets used to drugs and drinks when his girlfriend is forced to marry another person.",182,https://upload.wikimedia.org/wikipedia/en/4/46/Arjun_Reddy.jpg
9,Rangasthalam,2018,UA,"Action, Drama            ","    The fear of his elder brother's death starts to haunt an innocent, hearing impaired guy after they both join forces to overthrow the unlawful 30 year long regime of their village's president.",170,https://upload.wikimedia.org/wikipedia/en/5/5d/Rangasthalam.jpg
10,Magadheera,2009,A,"Action, Drama, Fantasy            ","    A bike stuntman recalls his previous life as a warrior, and pursues his love's reincarnation. A sinister figure from their shared past threatens to separate them forever.",166,https://upload.wikimedia.org/wikipedia/en/c/ce/Magadheera_Poster.jpg
11,War,2019,UA,"Action, Thriller            ",    An Indian soldier chases after his mentor who has gone rogue following an unexpected kill.,154,https://upload.wikimedia.org/wikipedia/en/6/6f/War_official_poster.jpg
